x1,x2,x3,x5,x4,y1,y2,y3,y4,y5,
3.8,3.8,4,4,3.8,44.1501,53.6501,55.2503,45.7503,44.1501,
4,4,4.2,4.2,4,45.7503,55.2503,56.85,47.35,45.7503,
4.2,4.2,4.4,4.4,4.2,47.35,56.85,58.4502,48.9502,47.35,
4.4,4.4,4.6,4.6,4.4,48.9502,58.4502,60.0504,50.5504,48.9502,
4.6,4.6,4.8,4.8,4.6,50.5504,60.0504,61.6501,52.1501,50.5504,
4.8,4.8,5,5,4.8,52.1501,61.6501,63.2498,53.7498,52.1501,
5,5,5.2,5.2,5,53.7498,63.2498,64.85,55.35,53.7498,
5.2,5.2,5.4,5.4,5.2,55.35,64.85,66.4497,56.9497,55.35,
5.4,5.4,5.6,5.6,5.4,56.9497,66.4497,68.0499,58.5499,56.9497,
5.6,5.6,5.8,5.8,5.6,58.5499,68.0499,69.6496,60.1496,58.5499,
5.8,5.8,6,6,5.8,60.1496,69.6496,71.2497,61.7497,60.1496,
6,6,6.2,6.2,6,61.7497,71.2497,72.8499,63.3499,61.7497,
6.2,6.2,6.4,6.4,6.2,63.3499,72.8499,74.4496,64.9496,63.3499,
6.4,6.4,6.6,6.6,6.4,64.9496,74.4496,76.0498,66.5498,64.9496,
6.6,6.6,6.8,6.8,6.6,66.5498,76.0498,77.65,68.15,66.5498,
6.8,6.8,7,7,6.8,68.15,77.65,79.2497,69.7497,68.15,
7,7,7.2,7.2,7,69.7497,79.2497,80.8499,71.3499,69.7497,
7.2,7.2,7.4,7.4,7.2,71.3499,80.8499,82.4496,72.9496,71.3499,
7.4,7.4,7.6,7.6,7.4,72.9496,82.4496,84.0497,74.5497,72.9496,
7.6,7.6,7.8,7.8,7.6,74.5497,84.0497,85.6499,76.1499,74.5497,
